CryptoID,crypto_type,minable,BTC_price_change_1_day,price_btc,USD_price_change_1_day,price_usd,trade_date
17,0,1,0,1,-0.021638772,650.62,7/22/2016
17,0,1,0,1,0.007592758,655.56,7/23/2016
17,0,1,0,1,0.008725365,661.28,7/24/2016
17,0,1,0,1,-0.01085773,654.1,7/25/2016
17,0,1,0,1,-0.003546858,651.78,7/26/2016
17,0,1,0,1,0.003943048,654.35,7/27/2016
17,0,1,0,1,0.001039199,655.03,7/28/2016
17,0,1,0,1,0.002992229,656.99,7/29/2016
17,0,1,0,1,-0.002952861,655.05,7/30/2016
17,0,1,0,1,-0.046362873,624.68,7/31/2016
17,0,1,0,1,-0.029471089,606.27,8/1/2016
17,0,1,0,1,-0.096986491,547.47,8/2/2016
17,0,1,0,1,0.034485908,566.35,8/3/2016
17,0,1,0,1,0.02108237,578.29,8/4/2016
17,0,1,0,1,-0.005620018,575.04,8/5/2016
17,0,1,0,1,0.022154981,587.78,8/6/2016
17,0,1,0,1,0.008353466,592.69,8/7/2016
17,0,1,0,1,-0.002767045,591.05,8/8/2016
17,0,1,0,1,-0.005498689,587.8,8/9/2016
17,0,1,0,1,0.007315413,592.1,8/10/2016
17,0,1,0,1,-0.005032934,589.12,8/11/2016
17,0,1,0,1,-0.002648017,587.56,8/12/2016
17,0,1,0,1,-0.003352849,585.59,8/13/2016
17,0,1,0,1,-0.025820113,570.47,8/14/2016
17,0,1,0,1,-0.005661998,567.24,8/15/2016
17,0,1,0,1,0.017981807,577.44,8/16/2016
17,0,1,0,1,-0.007308119,573.22,8/17/2016
17,0,1,0,1,0.001918984,574.32,8/18/2016
17,0,1,0,1,0.002280958,575.63,8/19/2016
17,0,1,0,1,0.010544968,581.7,8/20/2016
17,0,1,0,1,-0.000670449,581.31,8/21/2016
17,0,1,0,1,0.009358174,586.75,8/22/2016
17,0,1,0,1,-0.005692373,583.41,8/23/2016
17,0,1,0,1,-0.005536415,580.18,8/24/2016
17,0,1,0,1,-0.004171119,577.76,8/25/2016
17,0,1,0,1,0.003271255,579.65,8/26/2016
17,0,1,0,1,-0.016734236,569.95,8/27/2016
17,0,1,0,1,0.006947978,573.91,8/28/2016
17,0,1,0,1,0.000348487,574.11,8/29/2016
17,0,1,0,1,0.005904792,577.5,8/30/2016
17,0,1,0,1,-0.003515152,575.47,8/31/2016
17,0,1,0,1,-0.005508541,572.3,9/1/2016
17,0,1,0,1,0.005661366,575.54,9/2/2016
17,0,1,0,1,0.039389095,598.21,9/3/2016
17,0,1,0,1,0.017418632,608.63,9/4/2016
17,0,1,0,1,-0.00335179,606.59,9/5/2016
17,0,1,0,1,0.006346956,610.44,9/6/2016
17,0,1,0,1,0.006716467,614.54,9/7/2016
17,0,1,0,1,0.019168809,626.32,9/8/2016
17,0,1,0,1,-0.005524333,622.86,9/9/2016
17,0,1,0,1,0.001043573,623.51,9/10/2016
17,0,1,0,1,-0.026928197,606.72,9/11/2016
17,0,1,0,1,0.002505274,608.24,9/12/2016
17,0,1,0,1,0.001644088,609.24,9/13/2016
17,0,1,0,1,0.002363601,610.68,9/14/2016
17,0,1,0,1,-0.005764066,607.16,9/15/2016
17,0,1,0,1,-0.000312932,606.97,9/16/2016
17,0,1,0,1,-0.001631053,605.98,9/17/2016
17,0,1,0,1,0.006419354,609.87,9/18/2016
17,0,1,0,1,-0.001049404,609.23,9/19/2016
17,0,1,0,1,-0.001510103,608.31,9/20/2016
17,0,1,0,1,-0.018345909,597.15,9/21/2016
17,0,1,0,1,-0.001423428,596.3,9/22/2016
17,0,1,0,1,0.010967634,602.84,9/23/2016
17,0,1,0,1,-0.000348351,602.63,9/24/2016
17,0,1,0,1,-0.002986907,600.83,9/25/2016
17,0,1,0,1,0.012000067,608.04,9/26/2016
17,0,1,0,1,-0.003075456,606.17,9/27/2016
17,0,1,0,1,-0.002375571,604.73,9/28/2016
17,0,1,0,1,0.001587485,605.69,9/29/2016
17,0,1,0,1,0.006670079,609.73,9/30/2016
17,0,1,0,1,0.006970298,613.98,10/1/2016
17,0,1,0,1,-0.005032737,610.89,10/2/2016
17,0,1,0,1,0.002029825,612.13,10/3/2016
17,0,1,0,1,-0.003152925,610.2,10/4/2016
17,0,1,0,1,0.003785644,612.51,10/5/2016
17,0,1,0,1,0.000832639,613.02,10/6/2016
17,0,1,0,1,0.006688199,617.12,10/7/2016
17,0,1,0,1,0.003224656,619.11,10/8/2016
17,0,1,0,1,-0.003811924,616.75,10/9/2016
17,0,1,0,1,0.003631942,618.99,10/10/2016
17,0,1,0,1,0.035671012,641.07,10/11/2016
17,0,1,0,1,-0.007612273,636.19,10/12/2016
17,0,1,0,1,0.000943114,636.79,10/13/2016
17,0,1,0,1,0.005637651,640.38,10/14/2016
17,0,1,0,1,-0.002701521,638.65,10/15/2016
17,0,1,0,1,0.004666093,641.63,10/16/2016
17,0,1,0,1,-0.003802815,639.19,10/17/2016
17,0,1,0,1,-0.00192431,637.96,10/18/2016
17,0,1,0,1,-0.011662173,630.52,10/19/2016
17,0,1,0,1,0.000539237,630.86,10/20/2016
17,0,1,0,1,0.003122721,632.83,10/21/2016
17,0,1,0,1,0.038651771,657.29,10/22/2016
17,0,1,0,1,-0.000334708,657.07,10/23/2016
17,0,1,0,1,-0.005037515,653.76,10/24/2016
17,0,1,0,1,0.005858419,657.59,10/25/2016
17,0,1,0,1,0.031493788,678.3,10/26/2016
17,0,1,0,1,0.014757482,688.31,10/27/2016
17,0,1,0,1,0.001946797,689.65,10/28/2016
17,0,1,0,1,0.03600377,714.48,10/29/2016
17,0,1,0,1,-0.017663196,701.86,10/30/2016
17,0,1,0,1,-0.001268059,700.97,10/31/2016
17,0,1,0,1,0.041114456,729.79,11/1/2016
17,0,1,0,1,0.015127639,740.83,11/2/2016
17,0,1,0,1,-0.070367021,688.7,11/3/2016
